Euphonic version: 0+unknown
         1604072 function calls (1559110 primitive calls) in 2.781 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1923    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
      505    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      306    0.001    0.000    0.005    0.000 util.py:690(__mul__)
     3570    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      620    0.001    0.000    0.001    0.000 tokenize.py:385(find_cookie)
       11    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.001    0.001    0.001    0.001 atoms.py:36(<module>)
      408    0.001    0.000    0.001    0.000 systems.py:124(add_units)
      505    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     3570    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      633    0.001    0.000    0.090    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
     1030    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     1357    0.001    0.000    0.001    0.000 inspect.py:2759(<genexpr>)
      218    0.001    0.000    0.005    0.000 util.py:711(__truediv__)
      334    0.001    0.000    0.001    0.000 _util.py:292(<listcomp>)
        1    0.001    0.001    0.001    0.001 {built-in method posix.open}
        5    0.001    0.000    0.059    0.012 numpy_func.py:273(implementation)
      505    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      912    0.001    0.000    0.002    0.000 re.py:330(filter)
      604    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1535    0.001    0.000    0.001    0.000 definitions.py:49(<genexpr>)
       23    0.001    0.000    1.453    0.063 __init__.py:1(<module>)
      336    0.001    0.000    0.001    0.000 enum.py:351(__setattr__)
     3001    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      505    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        1    0.001    0.001    0.012    0.012 shutil.py:5(<module>)
  496/487    0.001    0.000    0.014    0.000 registry.py:356(define)
       19    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
      353    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     2404    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      810    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      615    0.001    0.000    0.001    0.000 definitions.py:107(__init__)
   420/34    0.001    0.000    0.607    0.018 {built-in method builtins.__import__}
      286    0.001    0.000    0.002    0.000 function_base.py:4533(add_newdoc)
      854    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     3400    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       15    0.001    0.000    0.035    0.002 systems.py:175(from_lines)
        7    0.001    0.000    0.022    0.003 context.py:137(from_lines)
      647    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1044    0.001    0.000    0.001    0.000 __init__.py:929(__setitem__)
     3809    0.001    0.000    0.001    0.000 inspect.py:2496(kind)
       89    0.001    0.000    0.058    0.001 sre_compile.py:557(compile)
      327    0.001    0.000    0.002    0.000 inspect.py:2797(replace)
      334    0.001    0.000    0.001    0.000 _util.py:306(<listcomp>)
     1010    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      943    0.000    0.000    0.001    0.000 util.py:253(<genexpr>)
       13    0.000    0.000    0.002    0.000 enum.py:623(<listcomp>)
    834/6    0.000    0.000    1.186    0.198 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2421    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
  446/427    0.000    0.000    0.000    0.000 systems.py:102(invalidate_members)
       12    0.000    0.000    0.012    0.001 util.py:233(solve_dependencies)
       89    0.000    0.000    0.007    0.000 sre_compile.py:482(_compile_info)
     1856    0.000    0.000    0.002    0.000 _collections_abc.py:701(__len__)
      109    0.000    0.000    0.009    0.000 _distn_infrastructure.py:591(__init__)
     1322    0.000    0.000    0.001    0.000 sre_parse.py:171(append)
       65    0.000    0.000    0.016    0.000 definitions.py:315(from_string)
        8    0.000    0.000    0.003    0.000 registry.py:956(_convert)
     1842    0.000    0.000    0.000    0.000 definitions.py:173(converter)
     1044    0.000    0.000    0.001    0.000 sre_parse.py:285(tell)
       89    0.000    0.000    0.023    0.000 sre_parse.py:844(parse)
     2012    0.000    0.000    0.000    0.000 {method 'span' of '_sre.SRE_Match' objects}
      555    0.000    0.000    0.001    0.000 _collections_abc.py:676(items)
       53    0.000    0.000    0.006    0.000 registry.py:1104(_parse_units)
      170    0.000    0.000    0.001    0.000 util.py:620(<dictcomp>)
      604    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       65    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
        1    0.000    0.000    0.106    0.106 _continuous_distns.py:5(<module>)
      246    0.000    0.000    0.002    0.000 enum.py:795(__or__)
     2001    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      636    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       37    0.000    0.000    0.006    0.000 typing.py:1099(__getitem__)
     1675    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      124    0.000    0.000    0.001    0.000 abc.py:135(<setcomp>)
     1300    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      647    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      281    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
     1678    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     1092    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
  309/307    0.000    0.000    0.006    0.000 {built-in method _operator.mul}
      373    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      352    0.000    0.000    0.006    0.000 util.py:858(to_units_container)
    62/26    0.000    0.000    0.001    0.000 abc.py:196(__subclasscheck__)
       55    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
      334    0.000    0.000    0.000    0.000 _util.py:296(<listcomp>)
     1588    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      289    0.000    0.000    0.001    0.000 sre_compile.py:388(_simple)
      279    0.000    0.000    0.002    0.000 util.py:997(__next__)
       65    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      334    0.000    0.000    0.017    0.000 inspect.py:2783(from_callable)
        9    0.000    0.000    0.005    0.001 registry.py:1231(parse_expression)
      224    0.000    0.000    0.001    0.000 util.py:454(__copy__)
       93    0.000    0.000    0.001    0.000 util.py:705(__pow__)
      633    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
     1096    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
       72    0.000    0.000    0.000    0.000 utils.py:74(__call__)
       83    0.000    0.000    0.000    0.000 typing.py:852(_next_in_mro)
      334    0.000    0.000    0.000    0.000 _util.py:301(<listcomp>)
      115    0.000    0.000    0.007    0.000 registry.py:671(get_symbol)
     2295    0.000    0.000    0.000    0.000 inspect.py:2484(name)
      505    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
      422    0.000    0.000    0.000    0.000 registry.py:833(<dictcomp>)
      334    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        7    0.000    0.000    0.008    0.001 systems.py:358(from_lines)
      451    0.000    0.000    0.000    0.000 registry.py:721(<dictcomp>)
       45    0.000    0.000    0.001    0.000 quantity.py:201(__new__)
        4    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.copyto}
      633    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:780(find_spec)
        8    0.000    0.000    0.001    0.000 einsumfunc.py:541(einsum_path)
      499    0.000    0.000    0.000    0.000 definitions.py:161(has_symbol)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
      700    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
  247/241    0.000    0.000    0.006    0.000 {built-in method _operator.truediv}
      620    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
    94/93    0.000    0.000    0.130    0.001 <frozen importlib._bootstrap_external>:919(create_module)
      487    0.000    0.000    0.000    0.000 definitions.py:51(<listcomp>)
       11    0.000    0.000    0.002    0.000 __init__.py:472(search)
      170    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
      334    0.000    0.000    0.017    0.000 inspect.py:3035(signature)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
      180    0.000    0.000    0.015    0.000 context.py:202(<genexpr>)
      226    0.000    0.000    0.000    0.000 _distn_infrastructure.py:714(<genexpr>)
      131    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
     1423    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       13    0.000    0.000    0.013    0.001 _distn_infrastructure.py:2669(__init__)
      620    0.000    0.000    0.000    0.000 tokenize.py:379(read_or_stop)
      394    0.000    0.000    0.000    0.000 registry.py:1933(get_group)
      638    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
       63    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
      202    0.000    0.000    0.001    0.000 util.py:634(__copy__)
       53    0.000    0.000    0.000    0.000 core.py:885(__init__)
       59    0.000    0.000    0.000    0.000 functools.py:44(update_wrapper)
       76    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      295    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     1674    0.000    0.000    0.000    0.000 inspect.py:2789(parameters)
      937    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
      317    0.000    0.000    0.000    0.000 util.py:302(copy)
        1    0.000    0.000    0.002    0.002 qpoint_phonon_modes.py:37(__init__)
        1    0.000    0.000    0.001    0.001 force_constants.py:492(_calculate_dyn_mat)
     1383    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
        2    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3379(get_distribution_names)
       89    0.000    0.000    0.034    0.000 sre_compile.py:542(_code)
  709/643    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
       13    0.000    0.000    0.005    0.000 enum.py:364(_create_)
       97    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
       81    0.000    0.000    0.001    0.000 {method 'update' of 'set' objects}
       89    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
    94/58    0.000    0.000    0.128    0.002 <frozen importlib._bootstrap_external>:927(exec_module)
        8    0.000    0.000    0.020    0.002 einsumfunc.py:819(einsum)
      322    0.000    0.000    0.000    0.000 util.py:672(<listcomp>)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2160(__init__)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
       66    0.000    0.000    0.001    0.000 context.py:226(add_transformation)
      145    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      143    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
    77/72    0.000    0.000    0.001    0.000 unit.py:35(__init__)
       65    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       11    0.000    0.000    0.001    0.000 inspect.py:1082(getfullargspec)
        1    0.000    0.000    0.013    0.013 typing.py:1(<module>)
        1    0.000    0.000    0.211    0.211 __init__.py:106(<module>)
      353    0.000    0.000    0.000    0.000 _distn_infrastructure.py:43(instancemethod)
       55    0.000    0.000    0.001    0.000 sre_compile.py:376(_mk_bitmap)
       37    0.000    0.000    0.000    0.000 typing.py:896(_no_slots_copy)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      265    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
        1    0.000    0.000    0.003    0.003 castep.py:257(_read_cell)
        6    0.000    0.000    0.000    0.000 getlimits.py:65(__init__)
       30    0.000    0.000    0.014    0.000 definitions.py:191(from_string)
